IFA-100 Fiber Index Profiler Version 8.0 Build 20 Output file
Data acquired on Oct 07, 2015  2:20 PM
IFA-100 Serial Number 02280  Data filename: 6AW0058_10TH OCT.txt
Fiber Rotation Angle = 0deg Frame rate = 18.6 Axial position = 0 microns
Microns per pixel = 0.153 Axial zone height = 80 microns
Frame size = 1384 horizontal pixels
Lambda cal = -0.034214         3.5741        -139.71         2447.8
Center Offset = 0.0 microns and Selected Fiber Diameter = 125 microns
Refractive index units are delta-n
radius (um)	633
11.928	-0.000746336	
12.081	-0.000745949	
12.234	-0.000745259	
12.387	-0.00074505	
12.539	-0.000745182	
12.692	-0.000744191	
12.845	-0.000741228	
12.998	-0.000737656	
13.151	-0.000735296	
13.304	-0.000734035	
13.457	-0.000732067	
13.61	-0.000729176	
13.763	-0.000725303	
13.916	-0.00072069	
14.069	-0.000714877	
14.222	-0.000708781	
14.374	-0.000703415	
14.527	-0.000699445	
14.68	-0.000696452	
14.833	-0.000694606	
14.986	-0.000694328	
15.139	-0.000696114	
15.292	-0.000700263	
15.445	-0.000707615	
15.598	-0.000718202	
15.751	-0.000729964	
15.904	-0.000739677	
16.057	-0.000745606	
16.21	-0.000748639	
16.362	-0.000750292	
16.515	-0.000751156	
16.668	-0.000751484	
16.821	-0.000751962	
16.974	-0.000753249	
17.127	-0.000754842	
17.28	-0.000756092	
17.433	-0.000757126	
17.586	-0.000758843	
17.739	-0.000761099	
17.892	-0.000762967	
18.045	-0.000763815	
18.197	-0.000764103	
18.35	-0.000764772	
18.503	-0.000766446	
18.656	-0.000768906	
18.809	-0.000771367	
18.962	-0.000772894	
19.115	-0.000773361	
19.268	-0.00077345	
19.421	-0.00077427	
19.574	-0.000776267	
19.727	-0.000778648	
19.88	-0.000780225	
20.033	-0.000780952	
20.185	-0.000781864	
20.338	-0.000783297	
20.491	-0.000784366	
20.644	-0.000784828	
20.797	-0.00078523	
20.95	-0.000786433	
21.103	-0.000787739	
21.256	-0.000788667	
21.409	-0.000789026	
21.562	-0.000789376	
21.715	-0.000790037	
21.868	-0.000790958	
22.02	-0.000791922	
22.173	-0.000792701	
22.326	-0.000793647	
22.479	-0.000795021	
22.632	-0.000796551	
22.785	-0.000797486	
22.938	-0.0007978	
23.091	-0.000798556	
23.244	-0.0008004	
23.397	-0.000802276	
23.55	-0.000802552	
23.703	-0.000801263	
23.856	-0.000800193	
24.008	-0.000800756	
24.161	-0.000802841	
24.314	-0.000805164	
24.467	-0.000806544	
24.62	-0.000806275	
24.773	-0.000805009	
24.926	-0.000804136	
25.079	-0.000804848	
25.232	-0.000806776	
25.385	-0.00080851	
25.538	-0.00080898	
25.691	-0.000808985	
25.843	-0.000810138	
25.996	-0.00081244	
26.149	-0.00081387	
26.302	-0.000812798	
26.455	-0.000810297	
26.608	-0.000808872	
26.761	-0.000809656	
26.914	-0.000811706	
27.067	-0.000813389	
27.22	-0.000814309	
27.373	-0.000814652	
27.526	-0.000815054	
27.679	-0.000815346	
27.831	-0.000815996	
27.984	-0.000816486	
28.137	-0.000816941	
28.29	-0.000816841	
28.443	-0.00081661	
28.596	-0.00081618	
28.749	-0.000815801	
28.902	-0.000815568	
29.055	-0.000815796	
29.208	-0.000816751	
29.361	-0.000818252	
29.514	-0.000819927	
29.666	-0.000820998	
29.819	-0.000820906	
29.972	-0.000819697	
30.125	-0.000818506	
30.278	-0.000818582	
30.431	-0.000819594	
30.584	-0.000819996	
30.737	-0.000819134	
30.89	-0.000818245	
31.043	-0.00081878	
31.196	-0.000820299	
31.349	-0.000821269	
31.502	-0.000821001	
31.654	-0.000820504	
31.807	-0.000820972	
31.96	-0.000821926	
32.113	-0.000822271	
32.266	-0.000821484	
32.419	-0.000820867	
32.572	-0.000820964	
32.725	-0.000821401	
32.878	-0.000821016	
33.031	-0.000820267	
33.184	-0.000820303	
33.337	-0.00082141	
33.489	-0.000822499	
